symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-07-14 00:00:00+00:00,2641.65,2659.9199,2637.96,2638.03,895927,131.0911874512,131.9978264403,130.9080721703,130.9115459019,17918540,0.0,1.0
GOOG,2021-07-15 00:00:00+00:00,2625.33,2651.9,2611.96,2650.0,829316,130.2813117374,131.5998410091,129.6178289989,131.5055540081,16586320,0.0,1.0
GOOG,2021-07-16 00:00:00+00:00,2636.91,2643.66,2616.43,2632.82,743059,130.8559661961,131.1909331733,129.8396515749,130.6530010203,14861180,0.0,1.0
GOOG,2021-07-19 00:00:00+00:00,2585.08,2624.94,2570.74,2623.11,1285466,128.2839160586,130.2619580899,127.5722973249,130.1711448205,25709320,0.0,1.0
GOOG,2021-07-20 00:00:00+00:00,2622.03,2640.0271,2583.7675,2600.08,954156,130.1175501041,131.0106514649,128.2187835908,129.0282871191,19083120,0.0,1.0
GOOG,2021-07-21 00:00:00+00:00,2652.01,2652.345,2612.03,2615.74,737082,131.6052997302,131.6219240173,129.6213027305,129.8054105061,14741640,0.0,1.0
GOOG,2021-07-22 00:00:00+00:00,2666.57,2670.09,2648.0,2653.0,680407,132.3278359062,132.5025149817,131.4063045334,131.6544282202,13608140,0.0,1.0
GOOG,2021-07-23 00:00:00+00:00,2756.32,2776.17,2694.01,2705.2,1318887,136.7816560844,137.7667071211,133.6895386994,134.2448395105,26377740,0.0,1.0
GOOG,2021-07-26 00:00:00+00:00,2792.89,2794.26,2753.0201,2765.0,1152623,138.5964327297,138.6644186199,136.6178994136,137.2123988047,23052460,0.0,1.0
GOOG,2021-07-27 00:00:00+00:00,2735.93,2800.22,2702.0,2800.22,2108153,135.7698076896,138.9601820546,134.0860403509,138.9601820546,42163060,0.0,1.0
GOOG,2021-07-28 00:00:00+00:00,2727.63,2793.52,2727.0,2771.24,2734417,135.3579223695,138.6276963143,135.326658785,137.5220571659,54688340,0.0,1.0
GOOG,2021-07-29 00:00:00+00:00,2730.81,2743.03,2722.76,2727.612,948565,135.5157290343,136.1221433249,135.1162498986,135.3570291243,18971300,0.0,1.0
GOOG,2021-07-30 00:00:00+00:00,2704.42,2715.4273,2696.284,2710.22,1197725,134.2061322154,134.7523665869,133.8023853522,134.4939556921,23954500,0.0,1.0
GOOG,2021-08-02 00:00:00+00:00,2719.79,2720.41,2693.39,2709.69,1007002,134.9688644286,134.9996317658,133.6587713623,134.4676545813,20140040,0.0,1.0
GOOG,2021-08-03 00:00:00+00:00,2725.6,2726.71,2683.67,2720.0,953200,135.2571841527,135.3122676111,133.1764189151,134.9792856235,19064000,0.0,1.0
GOOG,2021-08-04 00:00:00+00:00,2720.57,2730.76,2708.3,2724.99,826357,135.0075717238,135.5132477975,134.3986761963,135.2269130629,16527140,0.0,1.0
GOOG,2021-08-05 00:00:00+00:00,2738.8,2739.0,2712.0,2720.57,593589,135.9122306859,135.9221556333,134.5822877246,135.0075717238,11871780,0.0,1.0
GOOG,2021-08-06 00:00:00+00:00,2740.72,2741.6009,2720.93,2725.9,678251,136.0075101816,136.0512246127,135.0254366292,135.2720715739,13565020,0.0,1.0
GOOG,2021-08-09 00:00:00+00:00,2760.04,2766.43,2728.575,2738.98,618978,136.9662601074,137.2833621792,135.4048177463,135.9211631386,12379560,0.0,1.0
GOOG,2021-08-10 00:00:00+00:00,2761.93,2771.03,2744.53,2761.59,801954,137.060050861,137.511635971,136.1965804309,137.0431784503,16039080,0.0,1.0
GOOG,2021-08-11 00:00:00+00:00,2753.79,2776.955,2747.0,2765.66,760483,136.6561054989,137.8056625399,136.3191535322,137.2451511314,15209660,0.0,1.0
GOOG,2021-08-12 00:00:00+00:00,2767.79,2768.36,2735.58,2754.26,732470,137.350851822,137.3791379223,135.7524390315,136.6794291255,14649400,0.0,1.0
GOOG,2021-08-13 00:00:00+00:00,2768.12,2773.48,2760.1,2767.15,626348,137.3672279853,137.6332165776,136.9692375917,137.3190919901,12526960,0.0,1.0
GOOG,2021-08-16 00:00:00+00:00,2778.32,2779.81,2723.315,2760.0,902542,137.8734003064,137.947341165,135.1437916278,136.9642751179,18050840,0.0,1.0
GOOG,2021-08-17 00:00:00+00:00,2746.01,2774.37,2735.75,2763.82,1063701,136.2700250422,137.6773825938,135.7608752369,137.1538416146,21274020,0.0,1.0
GOOG,2021-08-18 00:00:00+00:00,2731.4,2765.88,2728.42,2742.31,746723,135.5450076294,137.2560685736,135.397125912,136.086413514,14934460,0.0,1.0
GOOG,2021-08-19 00:00:00+00:00,2738.27,2749.04,2707.12,2709.35,914796,135.885929575,136.4203879964,134.3401190062,134.4507821706,18295920,0.0,1.0
GOOG,2021-08-20 00:00:00+00:00,2768.74,2772.29,2729.34,2741.66,778337,137.3979953225,137.5741631401,135.4427806704,136.0541574347,15566740,0.0,1.0
GOOG,2021-08-23 00:00:00+00:00,2821.99,2843.5399,2774.9586,2779.97,1054484,140.040512587,141.1099207146,137.7065917142,137.955281123,21089680,0.0,1.0
GOOG,2021-08-24 00:00:00+00:00,2847.97,2860.15,2827.07,2830.87,756313,141.3297632636,141.9341925647,140.2926062528,140.4811802547,15126260,0.0,1.0
GOOG,2021-08-25 00:00:00+00:00,2859.0,2866.26,2848.79,2857.66,642153,141.8771241167,142.23739971,141.3704555482,141.8106269686,12843060,0.0,1.0
GOOG,2021-08-26 00:00:00+00:00,2842.46,2862.696,2841.83,2852.37,746100,141.0563309608,142.060537146,141.0250673762,141.548112108,14922000,0.0,1.0
GOOG,2021-08-27 00:00:00+00:00,2891.01,2900.22,2840.4,2842.25,1228412,143.4656119597,143.9226557908,140.9541040018,141.0459097659,24568240,0.0,1.0
GOOG,2021-08-30 00:00:00+00:00,2909.39,2929.7899,2892.0,2894.09,845795,144.3777146324,145.3900543121,143.5147404496,143.6184561507,16915900,0.0,1.0
GOOG,2021-08-31 00:00:00+00:00,2909.24,2922.24,2900.0,2917.69,1337821,144.3702709218,145.0153925075,143.9117383485,144.7895999525,26756420,0.0,1.0
GOOG,2021-09-01 00:00:00+00:00,2916.84,2936.4099,2912.29,2913.0,791234,144.7474189257,145.7185700734,144.5216263707,144.5568599342,15824680,0.0,1.0
GOOG,2021-09-02 00:00:00+00:00,2884.38,2926.5,2882.13,2918.99,1092790,143.1365999509,145.2267938886,143.0249442919,144.854112111,21855800,0.0,1.0
GOOG,2021-09-03 00:00:00+00:00,2895.5,2907.54,2870.1,2882.92,955524,143.6884270304,144.2859088682,142.4279587014,143.0641478344,19110480,0.0,1.0
GOOG,2021-09-07 00:00:00+00:00,2910.38,2916.48,2890.82,2894.99,758630,144.4268431223,144.7295540203,143.4561832596,143.6631184144,15172600,0.0,1.0
GOOG,2021-09-08 00:00:00+00:00,2897.67,2911.02,2884.0,2907.87,774583,143.7961127105,144.4586029543,143.1177425508,144.3022850316,15491660,0.0,1.0
GOOG,2021-09-09 00:00:00+00:00,2898.27,2913.39,2888.68,2897.67,739928,143.8258875529,144.5762135818,143.3499863216,143.7961127105,14798560,0.0,1.0
GOOG,2021-09-10 00:00:00+00:00,2838.42,2920.38,2834.83,2908.87,1644831,140.8558470218,144.923090496,140.6776942147,144.3519097689,32896620,0.0,1.0
GOOG,2021-09-13 00:00:00+00:00,2869.3,2883.82,2845.65,2864.02,1008781,142.3882589115,143.108810098,141.2146338729,142.1262402983,20175620,0.0,1.0
GOOG,2021-09-14 00:00:00+00:00,2868.12,2894.55,2858.11,2883.22,945957,142.3297017214,143.6412835299,141.8329581005,143.0790352556,18919140,0.0,1.0
GOOG,2021-09-15 00:00:00+00:00,2904.12,2911.63,2845.12,2875.18,1032671,144.1161922665,144.4888740441,141.1883327621,142.6800523672,20653420,0.0,1.0
GOOG,2021-09-16 00:00:00+00:00,2887.47,2904.0,2868.3272,2902.42,1014942,143.2899403894,144.110237298,142.339983967,144.031830213,20298840,0.0,1.0
GOOG,2021-09-17 00:00:00+00:00,2829.27,2884.99,2821.23,2875.97,3001991,140.401780675,143.1668710407,140.0027977866,142.7192559097,60039820,0.0,1.0
GOOG,2021-09-20 00:00:00+00:00,2780.34,2787.25,2741.06,2780.0035,1745886,137.9736422759,138.316549211,136.0243825923,137.9569435517,34917720,0.0,1.0
GOOG,2021-09-21 00:00:00+00:00,2792.93,2816.2323,2778.11,2802.34,906469,138.5984177192,139.7547882367,137.8629791115,139.0653864978,18129380,0.0,1.0
GOOG,2021-09-22 00:00:00+00:00,2818.77,2831.67,2789.435,2801.01,1103390,139.8807209327,140.5208800446,138.4249792622,138.9993855971,22067800,0.0,1.0
